,Fitness,HD,Variants
104,0.600373019,2.0,AHGV
105,0.141878432,2.0,AIGV
106,0.103226191,2.0,AKGV
107,0.0685,2.0,ALGV
108,0.0876,2.0,AMGV
109,0.200006758,2.0,ANGV
110,0.00945,2.0,APGV
111,0.0522,2.0,AQGV
112,0.165200914,2.0,ARGV
113,0.21083333399999998,2.0,ASGV
114,0.0761,2.0,ATGV
115,0.141072305,2.0,AVGV
116,0.6578000039999999,2.0,AWGV
117,1.7040833430000002,2.0,AYGV
118,1.249424932,2.0,CAGV
119,0.5856808689999999,2.0,CCGV
120,0.0231,2.0,CDAV
121,0.0168,2.0,CDCV
122,0.00365,2.0,CDDV
123,0.0141,2.0,CDEV
124,0.229746325,2.0,CDFV
125,0.197766718,2.0,CDGA
126,0.574303482,2.0,CDGC
127,0.0117,2.0,CDGE
128,0.425703903,2.0,CDGF
129,0.0299,2.0,CDGG
130,0.0284,2.0,CDGH
131,0.12069724800000001,2.0,CDGI
132,0.13234103,2.0,CDGK
133,0.198017052,2.0,CDGL
134,0.608599298,2.0,CDGM
135,0.0598,2.0,CDGN
136,0.00835,2.0,CDGP
137,0.0325,2.0,CDGQ
138,0.00626,2.0,CDGR
139,0.11233687699999999,2.0,CDGS
140,0.161808234,2.0,CDGT
141,0.236904838,2.0,CDGW
142,0.0559,2.0,CDGY
143,0.00168,2.0,CDHV
144,0.0124,2.0,CDIV
145,0.00206,2.0,CDKV
146,0.0355,2.0,CDLV
147,0.0215,2.0,CDMV
148,0.00141,2.0,CDNV
149,0.00587,2.0,CDPV
150,0.00389,2.0,CDQV
151,0.00541,2.0,CDRV
152,0.007240000000000001,2.0,CDSV
153,0.00313,2.0,CDTV
154,0.0145,2.0,CDVV
155,0.00386,2.0,CDWV
156,0.0117,2.0,CDYV
157,0.172117808,2.0,CEGV
158,2.925753073,2.0,CFGV
159,0.163337486,2.0,CGGV
160,2.152090095,2.0,CHGV
161,1.172410994,2.0,CIGV
162,0.504541739,2.0,CKGV
163,0.319605528,2.0,CLGV
164,0.366637595,2.0,CMGV
165,0.6638469260000001,2.0,CNGV
166,0.0661,2.0,CPGV
167,0.401353335,2.0,CQGV
168,0.7388154090000001,2.0,CRGV
169,1.0020419740000002,2.0,CSGV
170,0.47980937,2.0,CTGV
171,1.304632113,2.0,CVGV
172,2.460262834,2.0,CWGV
173,4.073125649,2.0,CYGV
174,0.0392,2.0,DAGV
175,0.0649,2.0,DCGV
176,0.0,2.0,DDAV
177,0.0,2.0,DDCV
178,0.0,2.0,DDDV
179,0.0,2.0,DDEV
180,0.0125,2.0,DDFV
181,0.01,2.0,DDGA
182,0.0161,2.0,DDGC
183,0.011,2.0,DDGE
184,0.0,2.0,DDGF
185,0.0,2.0,DDGG
186,0.0196,2.0,DDGH
187,0.0211,2.0,DDGI
188,0.0,2.0,DDGK
189,0.0487,2.0,DDGL
190,0.119911459,2.0,DDGM
191,0.0,2.0,DDGN
192,0.0,2.0,DDGP
193,0.007409999999999999,2.0,DDGQ
194,0.0,2.0,DDGR
195,0.009340000000000001,2.0,DDGS
196,0.00365,2.0,DDGT
197,0.0105,2.0,DDGW
198,0.0,2.0,DDGY
199,0.0,2.0,DDHV
200,0.0,2.0,DDIV
201,0.0,2.0,DDKV
202,0.00571,2.0,DDLV
203,0.0,2.0,DDMV
204,0.0,2.0,DDNV
205,0.0,2.0,DDPV
206,0.0,2.0,DDRV
207,0.0,2.0,DDSV
208,0.0,2.0,DDTV
209,0.0,2.0,DDVV
210,0.0,2.0,DDWV
211,0.0,2.0,DDYV
212,0.0133,2.0,DEGV
213,0.051,2.0,DFGV
214,0.0107,2.0,DGGV
215,0.23753889,2.0,DHGV
216,0.0196,2.0,DIGV
217,0.0205,2.0,DKGV
218,0.0101,2.0,DLGV
219,0.00831,2.0,DMGV
220,0.0219,2.0,DNGV
221,0.0055899999999999995,2.0,DPGV
222,0.00857,2.0,DQGV
223,0.0329,2.0,DRGV
224,0.0546,2.0,DSGV
225,0.0152,2.0,DTGV
226,0.0447,2.0,DVGV
227,0.0414,2.0,DWGV
228,0.21614702,2.0,DYGV
229,0.51766161,2.0,EAGV
230,0.5324147539999999,2.0,ECGV
231,0.00823,2.0,EDAV
232,0.0193,2.0,EDCV
233,0.0036899999999999997,2.0,EDDV
234,0.0,2.0,EDEV
235,0.0126,2.0,EDFV
236,0.063,2.0,EDGA
237,0.288119948,2.0,EDGC
238,0.00572,2.0,EDGE
239,0.17998387899999999,2.0,EDGF
240,0.007259999999999999,2.0,EDGG
241,0.006520000000000001,2.0,EDGH
242,0.0708,2.0,EDGI
243,0.00309,2.0,EDGK
244,0.198273051,2.0,EDGL
245,0.130943795,2.0,EDGM
246,0.00672,2.0,EDGN
247,0.0030600000000000002,2.0,EDGP
248,0.00409,2.0,EDGQ
249,0.0035600000000000002,2.0,EDGR
250,0.0216,2.0,EDGS
251,0.0155,2.0,EDGT
252,0.0171,2.0,EDGW
253,0.00533,2.0,EDGY
254,0.0015400000000000001,2.0,EDHV
255,0.00571,2.0,EDIV
256,0.0,2.0,EDKV
257,0.0235,2.0,EDLV
258,0.00294,2.0,EDMV
259,0.0028699999999999997,2.0,EDNV
260,0.00271,2.0,EDPV
261,0.00772,2.0,EDQV
262,0.0027300000000000002,2.0,EDRV
263,0.00159,2.0,EDSV
264,0.0009109999999999999,2.0,EDTV
265,0.00417,2.0,EDVV
266,0.0036299999999999995,2.0,EDWV
267,0.00634,2.0,EDYV
268,0.160586271,2.0,EEGV
269,0.623095927,2.0,EFGV
270,0.0544,2.0,EGGV
271,1.281485379,2.0,EHGV
272,0.313378437,2.0,EIGV
273,0.507882443,2.0,EKGV
274,0.0592,2.0,ELGV
275,0.215351192,2.0,EMGV
276,0.251534184,2.0,ENGV
277,0.00837,2.0,EPGV
278,0.36544444600000003,2.0,EQGV
279,0.618911518,2.0,ERGV
280,0.710704461,2.0,ESGV
281,0.234168286,2.0,ETGV
282,0.534879653,2.0,EVGV
283,0.620970055,2.0,EWGV
284,0.7112289070000001,2.0,EYGV
285,1.918583344,2.0,FAGV
286,1.150171137,2.0,FCGV
287,0.0194,2.0,FDAV
288,0.0997,2.0,FDCV
289,0.0,2.0,FDDV
290,0.0,2.0,FDEV
291,0.42456046,2.0,FDFV
292,1.7329139880000002,2.0,FDGA
293,0.46310632399999996,2.0,FDGC
294,0.00403,2.0,FDGE
295,0.21231807600000002,2.0,FDGF
296,0.8600546020000001,2.0,FDGG
297,0.0157,2.0,FDGH
298,0.0443,2.0,FDGI
299,0.0,2.0,FDGK
300,0.148153154,2.0,FDGL
301,0.408720762,2.0,FDGM
302,0.112374167,2.0,FDGN
303,0.037,2.0,FDGP
304,0.0,2.0,FDGQ
305,0.00375,2.0,FDGR
306,1.5202334119999998,2.0,FDGS
307,1.1630666729999999,2.0,FDGT
308,0.0881,2.0,FDGW
309,0.0338,2.0,FDGY
310,0.00442,2.0,FDHV
311,0.0,2.0,FDIV
312,0.0102,2.0,FDKV
313,0.13873354,2.0,FDLV
314,0.0351,2.0,FDMV
315,0.0,2.0,FDNV
316,0.0028899999999999998,2.0,FDPV
317,0.00761,2.0,FDQV
318,0.0,2.0,FDRV
319,0.00428,2.0,FDSV
320,0.0,2.0,FDTV
321,0.00772,2.0,FDVV
322,0.0384,2.0,FDWV
323,0.0,2.0,FDYV
324,0.298446298,2.0,FEGV
325,3.600575884,2.0,FFGV
326,0.381512984,2.0,FGGV
327,2.803798439,2.0,FHGV
328,1.446599582,2.0,FIGV
329,1.0466158970000001,2.0,FKGV
330,0.486987354,2.0,FLGV
331,0.721343702,2.0,FMGV
332,1.06941444,2.0,FNGV
333,0.163405874,2.0,FPGV
334,0.737284171,2.0,FQGV
335,1.442067901,2.0,FRGV
336,1.4900868619999998,2.0,FSGV
337,0.792733338,2.0,FTGV
338,1.5873049330000002,2.0,FVGV
339,3.180910815,2.0,FWGV
340,4.112764295,2.0,FYGV
341,0.00554,2.0,GAGV
342,0.0406,2.0,GCGV
343,0.00148,2.0,GDAV
344,0.0122,2.0,GDCV
345,0.0,2.0,GDDV
346,0.000857,2.0,GDEV
347,0.0191,2.0,GDFV
348,0.00424,2.0,GDGA
349,0.00415,2.0,GDGC
350,0.0274,2.0,GDGD
351,0.0,2.0,GDGE
352,0.0165,2.0,GDGF
353,0.00293,2.0,GDGG
354,0.000465,2.0,GDGH
355,0.000772,2.0,GDGI
356,0.0,2.0,GDGK
357,0.00505,2.0,GDGL
358,0.0253,2.0,GDGM
359,0.0,2.0,GDGN
360,0.000729,2.0,GDGP
361,0.0,2.0,GDGQ
362,0.0006580000000000001,2.0,GDGR
363,0.000884,2.0,GDGS
364,0.00107,2.0,GDGT
365,0.130667636,2.0,GDGW
366,0.00549,2.0,GDGY
367,0.0016699999999999998,2.0,GDHV
368,0.0,2.0,GDIV
369,0.0,2.0,GDKV
370,0.0,2.0,GDLV
371,0.0,2.0,GDMV
372,0.0,2.0,GDNV
373,0.0009109999999999999,2.0,GDPV
374,0.0031,2.0,GDQV
375,0.00141,2.0,GDRV
376,0.00165,2.0,GDSV
377,0.0,2.0,GDTV
378,0.000981,2.0,GDVV
379,0.0008410000000000001,2.0,GDWV
380,0.00251,2.0,GDYV
381,0.00183,2.0,GEGV
382,0.0681,2.0,GFGV
383,0.00586,2.0,GGGV
384,0.0636,2.0,GHGV
385,0.0107,2.0,GIGV
386,0.0127,2.0,GKGV
387,0.00763,2.0,GLGV
388,0.0109,2.0,GMGV
389,0.006959999999999999,2.0,GNGV
390,0.00175,2.0,GPGV
391,0.012,2.0,GQGV
392,0.0302,2.0,GRGV
393,0.0211,2.0,GSGV
394,0.0102,2.0,GTGV
395,0.00486,2.0,GVGV
396,0.0685,2.0,GWGV
397,0.11435265,2.0,GYGV
398,0.319704488,2.0,HAGV
399,0.464923266,2.0,HCGV
400,0.00283,2.0,HDAV
401,0.0332,2.0,HDCV
402,0.00301,2.0,HDDV
403,0.00182,2.0,HDEV
404,0.0334,2.0,HDFV
405,0.0984,2.0,HDGA
406,0.121397641,2.0,HDGC
407,0.00372,2.0,HDGE
408,0.10510962800000001,2.0,HDGF
409,0.0262,2.0,HDGG
410,0.00687,2.0,HDGH
411,0.0158,2.0,HDGI
412,0.0015400000000000001,2.0,HDGK
413,0.0678,2.0,HDGL
414,0.25695312600000003,2.0,HDGM
415,0.0208,2.0,HDGN
416,0.00325,2.0,HDGP
417,0.006659999999999999,2.0,HDGQ
418,0.000917,2.0,HDGR
419,0.565418946,2.0,HDGS
420,0.43364176299999996,2.0,HDGT
421,0.0534,2.0,HDGW
422,0.00965,2.0,HDGY
423,0.0,2.0,HDHV
424,0.00232,2.0,HDIV
425,0.0,2.0,HDKV
426,0.00624,2.0,HDLV
427,0.0050799999999999994,2.0,HDMV
428,0.00256,2.0,HDNV
429,0.00475,2.0,HDPV
430,0.0,2.0,HDQV
431,0.0053,2.0,HDRV
432,0.001,2.0,HDSV
433,0.0030800000000000003,2.0,HDTV
434,0.00139,2.0,HDVV
435,0.0157,2.0,HDWV
436,0.0,2.0,HDYV
437,0.0524,2.0,HEGV
438,1.3472397280000001,2.0,HFGV
439,0.0534,2.0,HGGV
440,0.8094689159999999,2.0,HHGV
441,0.53740286,2.0,HIGV
442,0.222028748,2.0,HKGV
443,0.0918,2.0,HLGV
444,0.127948855,2.0,HMGV
445,0.173195517,2.0,HNGV
446,0.00403,2.0,HPGV
447,0.15257305599999998,2.0,HQGV
448,0.36696396600000003,2.0,HRGV
449,0.30733506899999996,2.0,HSGV
450,0.134197406,2.0,HTGV
451,0.504203428,2.0,HVGV
452,1.383957418,2.0,HWGV
453,2.487164496,2.0,HYGV
454,2.511215661,2.0,IAGV
455,1.5704924040000001,2.0,ICGV
456,0.20635617899999997,2.0,IDAV
457,0.111114865,2.0,IDCV
458,0.0,2.0,IDDV
459,0.0061600000000000005,2.0,IDEV
460,0.078,2.0,IDFV
461,1.511647388,2.0,IDGA
462,1.489279345,2.0,IDGC
463,0.0245,2.0,IDGE
464,0.840125005,2.0,IDGF
465,0.350155444,2.0,IDGG
466,0.168900062,2.0,IDGH
467,0.187313234,2.0,IDGI
468,0.00394,2.0,IDGK
469,0.218452559,2.0,IDGL
470,0.499285565,2.0,IDGM
471,0.236016205,2.0,IDGN
472,0.00821,2.0,IDGP
473,0.11428957599999999,2.0,IDGQ
474,0.00395,2.0,IDGR
475,0.874598219,2.0,IDGS
476,0.876808913,2.0,IDGT
477,0.138072056,2.0,IDGW
478,0.0265,2.0,IDGY
479,0.0,2.0,IDHV
480,0.00117,2.0,IDIV
481,0.00295,2.0,IDKV
482,0.0105,2.0,IDLV
483,0.0132,2.0,IDMV
484,0.00305,2.0,IDNV
485,0.00891,2.0,IDPV
486,0.0,2.0,IDQV
487,0.00134,2.0,IDRV
488,0.0185,2.0,IDSV
489,0.00103,2.0,IDTV
490,0.0119,2.0,IDVV
491,0.0166,2.0,IDWV
492,0.0223,2.0,IDYV
493,0.5050340329999999,2.0,IEGV
494,3.16744549,2.0,IFGV
495,0.539511406,2.0,IGGV
496,2.867648025,2.0,IHGV
497,1.643616439,2.0,IIGV
498,1.368004295,2.0,IKGV
499,0.546493282,2.0,ILGV
500,0.817503973,2.0,IMGV
501,2.2863070690000002,2.0,INGV
502,0.287032154,2.0,IPGV
503,0.8770666709999999,2.0,IQGV
504,1.745036485,2.0,IRGV
505,2.058620702,2.0,ISGV
506,0.941825577,2.0,ITGV
507,1.6779689309999999,2.0,IVGV
508,3.720278206,2.0,IWGV
509,4.38774529,2.0,IYGV
510,0.549334337,2.0,KAGV
511,0.653583337,2.0,KCGV
512,0.00225,2.0,KDAV
513,0.0133,2.0,KDCV
514,0.0032,2.0,KDDV
515,0.00124,2.0,KDEV
516,0.0103,2.0,KDFV
517,0.0175,2.0,KDGA
518,0.194204226,2.0,KDGC
519,0.0,2.0,KDGD
520,0.00197,2.0,KDGE
521,0.17291163399999998,2.0,KDGF
522,0.007890000000000001,2.0,KDGG
523,0.0219,2.0,KDGH
524,0.0435,2.0,KDGI
525,0.00159,2.0,KDGK
526,0.145853024,2.0,KDGL
527,0.334106862,2.0,KDGM
528,0.00489,2.0,KDGN
529,0.00293,2.0,KDGP
530,0.027,2.0,KDGQ
531,0.00103,2.0,KDGR
532,0.00847,2.0,KDGS
533,0.0152,2.0,KDGT
534,0.0859,2.0,KDGW
535,0.00381,2.0,KDGY
536,0.00128,2.0,KDHV
537,0.000947,2.0,KDIV
538,0.000536,2.0,KDKV
539,0.00344,2.0,KDLV
540,0.0028399999999999996,2.0,KDMV
541,0.0,2.0,KDNV
542,0.00137,2.0,KDPV
543,0.0032600000000000003,2.0,KDQV
544,0.00274,2.0,KDRV
545,0.00216,2.0,KDSV
546,0.0021,2.0,KDTV
547,0.0018800000000000002,2.0,KDVV
548,0.007520000000000001,2.0,KDWV
549,0.0153,2.0,KDYV
550,0.133768238,2.0,KEGV
551,1.3841520580000002,2.0,KFGV
552,0.0575,2.0,KGGV
553,1.359256395,2.0,KHGV
554,0.618982459,2.0,KIGV
555,0.507561731,2.0,KKGV
556,0.0984,2.0,KLGV
557,0.250364585,2.0,KMGV
558,0.24063639,2.0,KNGV
559,0.00317,2.0,KPGV
560,0.339048842,2.0,KQGV
561,0.746292588,2.0,KRGV
562,0.64911872,2.0,KSGV
563,0.320410401,2.0,KTGV
564,0.781976535,2.0,KVGV
565,1.249213993,2.0,KWGV
566,2.45451415,2.0,KYGV
567,2.260237718,2.0,LAGV
568,1.434277401,2.0,LCGV
569,0.158142086,2.0,LDAV
570,0.320602066,2.0,LDCV
571,0.00399,2.0,LDDV
572,0.00504,2.0,LDEV
573,0.25642018699999997,2.0,LDFV
574,1.216171488,2.0,LDGA
575,1.0213482759999999,2.0,LDGC
576,0.0152,2.0,LDGD
577,0.0125,2.0,LDGE
578,0.517877137,2.0,LDGF
579,0.194065717,2.0,LDGG
580,0.0373,2.0,LDGH
581,0.472257754,2.0,LDGI
582,0.00264,2.0,LDGK
583,0.28255065100000004,2.0,LDGL
584,0.560083336,2.0,LDGM
585,0.0945,2.0,LDGN
586,0.00837,2.0,LDGP
587,0.0758,2.0,LDGQ
588,0.00314,2.0,LDGR
589,0.416252754,2.0,LDGS
590,0.71761478,2.0,LDGT
591,0.156503206,2.0,LDGW
592,0.287902663,2.0,LDGY
593,0.0,2.0,LDHV
594,0.00248,2.0,LDIV
595,0.0,2.0,LDKV
596,0.280697714,2.0,LDLV
597,0.12836814400000002,2.0,LDMV
598,0.00435,2.0,LDNV
599,0.00498,2.0,LDPV
600,0.0,2.0,LDQV
601,0.0034700000000000004,2.0,LDRV
602,0.0103,2.0,LDSV
603,0.000749,2.0,LDTV
604,0.0114,2.0,LDVV
605,0.016,2.0,LDWV
606,0.0293,2.0,LDYV
607,0.501986327,2.0,LEGV
608,4.029066114,2.0,LFGV
609,0.731433635,2.0,LGGV
610,3.356961954,2.0,LHGV
611,1.729098742,2.0,LIGV
612,1.282727633,2.0,LKGV
613,0.6330035310000001,2.0,LLGV
614,0.875806518,2.0,LMGV
615,2.0880244119999998,2.0,LNGV
616,0.713918508,2.0,LPGV
617,0.906208338,2.0,LQGV
618,1.719667069,2.0,LRGV
619,2.267699744,2.0,LSGV
620,1.1379352740000002,2.0,LTGV
621,1.7626191130000002,2.0,LVGV
622,4.045960522,2.0,LWGV
623,5.075299437,2.0,LYGV
624,0.883276372,2.0,MAGV
625,0.8067017409999999,2.0,MCGV
626,0.097,2.0,MDAV
627,0.289072267,2.0,MDCV
628,0.0035299999999999997,2.0,MDDV
629,0.00562,2.0,MDEV
630,0.198611112,2.0,MDFV
631,0.6284339320000001,2.0,MDGA
632,0.658013298,2.0,MDGC
633,0.0,2.0,MDGD
634,0.0043,2.0,MDGE
635,0.39472685399999996,2.0,MDGF
636,0.094,2.0,MDGG
637,0.0863,2.0,MDGH
638,0.524061621,2.0,MDGI
639,0.00277,2.0,MDGK
640,0.231600418,2.0,MDGL
641,0.391311749,2.0,MDGM
642,0.136614746,2.0,MDGN
643,0.00488,2.0,MDGP
644,0.0481,2.0,MDGQ
645,0.00249,2.0,MDGR
646,0.37495662,2.0,MDGS
647,0.41264957,2.0,MDGT
648,0.0756,2.0,MDGW
649,0.14268456,2.0,MDGY
650,0.0,2.0,MDHV
651,0.00344,2.0,MDIV
652,0.007409999999999999,2.0,MDKV
653,0.0809,2.0,MDLV
654,0.028,2.0,MDMV
655,0.004079999999999999,2.0,MDNV
656,0.00234,2.0,MDPV
657,0.006529999999999999,2.0,MDQV
658,0.0033,2.0,MDRV
659,0.00981,2.0,MDSV
660,0.0065,2.0,MDTV
661,0.0116,2.0,MDVV
662,0.0,2.0,MDWV
663,0.0281,2.0,MDYV
664,0.291305806,2.0,MEGV
665,2.266508092,2.0,MFGV
666,0.305436041,2.0,MGGV
667,2.037294597,2.0,MHGV
668,1.336843636,2.0,MIGV
669,0.926559935,2.0,MKGV
670,0.362832452,2.0,MLGV
671,0.557579633,2.0,MMGV
672,1.421862028,2.0,MNGV
673,0.154735655,2.0,MPGV
674,0.614344911,2.0,MQGV
675,1.311479469,2.0,MRGV
676,1.313536445,2.0,MSGV
677,0.6103086870000001,2.0,MTGV
678,1.288443898,2.0,MVGV
679,2.350801884,2.0,MWGV
680,2.799362431,2.0,MYGV
681,0.0788,2.0,NAGV
682,0.139877012,2.0,NCGV
683,0.000935,2.0,NDAV
684,0.00409,2.0,NDCV
685,0.00473,2.0,NDDV
686,0.0,2.0,NDEV
687,0.0,2.0,NDFV
688,0.008020000000000001,2.0,NDGA
689,0.117464286,2.0,NDGC
690,0.0084,2.0,NDGE
691,0.00966,2.0,NDGF
692,0.00607,2.0,NDGG
693,0.00685,2.0,NDGH
694,0.0175,2.0,NDGI
695,0.00417,2.0,NDGK
696,0.0519,2.0,NDGL
697,0.125808744,2.0,NDGM
698,0.00938,2.0,NDGN
699,0.0016600000000000002,2.0,NDGP
700,0.0104,2.0,NDGQ
701,0.00252,2.0,NDGR
702,0.0196,2.0,NDGS
703,0.0199,2.0,NDGT
704,0.0557,2.0,NDGW
705,0.00465,2.0,NDGY
706,0.0105,2.0,NDHV
707,0.00435,2.0,NDIV
708,0.00232,2.0,NDKV
709,0.0018,2.0,NDLV
710,0.00298,2.0,NDMV
711,0.00216,2.0,NDNV
712,0.00143,2.0,NDPV
713,0.00243,2.0,NDQV
714,0.0016600000000000002,2.0,NDRV
715,0.0,2.0,NDSV
716,0.0,2.0,NDTV
717,0.00109,2.0,NDVV
718,0.00139,2.0,NDWV
719,0.00674,2.0,NDYV
720,0.0104,2.0,NEGV
721,0.24689693100000001,2.0,NFGV
722,0.0131,2.0,NGGV
723,0.18204042399999998,2.0,NHGV
724,0.131652388,2.0,NIGV
725,0.0413,2.0,NKGV
726,0.0219,2.0,NLGV
727,0.0332,2.0,NMGV
728,0.0263,2.0,NNGV
729,0.00266,2.0,NPGV
730,0.0416,2.0,NQGV
731,0.0804,2.0,NRGV
732,0.0769,2.0,NSGV
733,0.0307,2.0,NTGV
734,0.140938059,2.0,NVGV
735,0.183304141,2.0,NWGV
736,0.529965823,2.0,NYGV
737,0.0203,2.0,PAGV
738,0.0687,2.0,PCGV
739,0.00131,2.0,PDAV
740,0.0,2.0,PDCV
741,0.00249,2.0,PDDV
742,0.0034700000000000004,2.0,PDEV
743,0.0177,2.0,PDFV
744,0.00581,2.0,PDGA
745,0.0308,2.0,PDGC
746,0.00193,2.0,PDGE
747,0.0,2.0,PDGF
748,0.013,2.0,PDGG
749,0.0033200000000000005,2.0,PDGH
750,0.0105,2.0,PDGI
751,0.00446,2.0,PDGK
752,0.0125,2.0,PDGL
753,0.0108,2.0,PDGM
754,0.0,2.0,PDGN
755,0.0027300000000000002,2.0,PDGP
756,0.00185,2.0,PDGQ
757,0.00165,2.0,PDGR
758,0.00214,2.0,PDGS
759,0.00783,2.0,PDGT
760,0.0149,2.0,PDGW
761,0.00173,2.0,PDGY
762,0.0,2.0,PDHV
763,0.0,2.0,PDIV
764,0.0,2.0,PDKV
765,0.00183,2.0,PDLV
766,0.0033799999999999998,2.0,PDMV
767,0.0034700000000000004,2.0,PDNV
768,0.00315,2.0,PDPV
769,0.011,2.0,PDQV
770,0.009729999999999999,2.0,PDRV
771,0.00328,2.0,PDSV
772,0.00196,2.0,PDTV
773,0.00182,2.0,PDVV
774,0.0,2.0,PDWV
775,0.00857,2.0,PDYV
776,0.009590000000000001,2.0,PEGV
777,0.0573,2.0,PFGV
778,0.0131,2.0,PGGV
779,0.0703,2.0,PHGV
780,0.0504,2.0,PIGV
781,0.016,2.0,PKGV
782,0.00944,2.0,PLGV
783,0.00958,2.0,PMGV
784,0.0248,2.0,PNGV
785,0.0035600000000000002,2.0,PPGV
786,0.0109,2.0,PQGV
787,0.0292,2.0,PRGV
788,0.0275,2.0,PSGV
789,0.0143,2.0,PTGV
790,0.0462,2.0,PVGV
791,0.0658,2.0,PWGV
792,0.12496751199999999,2.0,PYGV
793,0.445084229,2.0,QAGV
794,0.434424591,2.0,QCGV
795,0.00385,2.0,QDAV
796,0.0259,2.0,QDCV
797,0.0018,2.0,QDDV
798,0.0017100000000000001,2.0,QDEV
799,0.0771,2.0,QDFV
800,0.089,2.0,QDGA
801,0.24144203,2.0,QDGC
802,0.0,2.0,QDGD
803,0.00432,2.0,QDGE
804,0.147809227,2.0,QDGF
805,0.0096,2.0,QDGG
806,0.0174,2.0,QDGH
807,0.039,2.0,QDGI
808,0.00267,2.0,QDGK
809,0.0828,2.0,QDGL
810,0.33708529600000003,2.0,QDGM
811,0.0196,2.0,QDGN
812,0.00331,2.0,QDGP
813,0.103635694,2.0,QDGQ
814,0.00234,2.0,QDGR
815,0.0618,2.0,QDGS
816,0.0461,2.0,QDGT
817,0.0533,2.0,QDGW
818,0.0077599999999999995,2.0,QDGY
819,0.0012699999999999999,2.0,QDHV
820,0.0021899999999999997,2.0,QDIV
821,0.00301,2.0,QDKV
822,0.0104,2.0,QDLV
823,0.0034700000000000004,2.0,QDMV
824,0.000667,2.0,QDNV
825,0.00262,2.0,QDPV
826,0.00118,2.0,QDQV
827,0.00201,2.0,QDRV
828,0.00449,2.0,QDSV
829,0.00121,2.0,QDTV
